iter	RMSE
0	14.84495182
1	14.46028357
2	14.07987058
3	13.6989742
4	13.35573511
5	13.06217873
6	12.74985162
7	12.45768573
8	12.19759583
9	11.90596683
10	11.61843463
11	11.36836744
12	11.14350355
13	10.88976005
14	10.64599093
15	10.39974621
16	10.18677117
17	9.9702175
18	9.750433721
19	9.55496237
20	9.39845139
21	9.254613703
22	9.072091249
23	8.907739277
24	8.743043329
25	8.594834553
26	8.448994363
27	8.32253545
28	8.188400602
29	8.062341788
30	7.960915977
31	7.832845966
32	7.715967937
33	7.618000452
34	7.509206637
35	7.41261958
36	7.316464889
37	7.235992894
38	7.152583557
39	7.077735904
40	7.005052584
41	6.933836494
42	6.852223506
43	6.788906497
44	6.720799778
45	6.661779413
46	6.595953276
47	6.538892884
48	6.476979237
49	6.416164987
50	6.367138353
51	6.315747415
52	6.270525718
53	6.223357808
54	6.177048072
55	6.134198592
56	6.092347365
57	6.054460559
58	6.018738695
59	5.986877063
60	5.957190266
61	5.923062477
62	5.895646106
63	5.862537531
64	5.83512826
65	5.810780409
66	5.782970602
67	5.755688078
68	5.72865649
69	5.705133657
70	5.678617282
71	5.657405734
72	5.636467493
73	5.613883494
74	5.59414197
75	5.572105942
76	5.557971104
77	5.542444323
78	5.525126516
79	5.505232388
80	5.490249784
81	5.476944824
82	5.4617111
83	5.446087438
84	5.435466245
85	5.425387095
86	5.412479893
87	5.401772752
88	5.390259879
89	5.374402336
90	5.362840098
91	5.35250258
92	5.336362616
93	5.330221121
94	5.322079129
95	5.306433715
96	5.297923789
97	5.287533057
98	5.278293394
99	5.27134429
100	5.262402437
101	5.254097525
102	5.248541776
103	5.238827906
104	5.229001664
105	5.223469844
106	5.214892251
107	5.207891826
108	5.20180483
109	5.193077709
110	5.183130684
111	5.177190669
112	5.166293829
113	5.16231245
114	5.157576086
115	5.152314724
116	5.146413292
117	5.140805384
118	5.130509959
119	5.125123987
120	5.117934786
121	5.112487628
122	5.10678482
123	5.098462467
124	5.095210367
125	5.092394278
126	5.088627457
127	5.080488607
128	5.074172396
129	5.066832109
130	5.063459294
131	5.058078744
132	5.053132983
133	5.049911961
134	5.0451201
135	5.037540686
136	5.031577826
137	5.028274788
138	5.022993441
139	5.01760143
140	5.012940401
141	5.008601611
142	5.00397327
143	4.9970657
144	4.994151167
145	4.991260878
146	4.982210706
147	4.979251234
148	4.972820922
149	4.968330975
150	4.964251486
151	4.96140655
152	4.956531869
153	4.951246648
154	4.942697425
155	4.936628594
156	4.928761739
157	4.926111931
158	4.921143286
159	4.917535285
160	4.913374893
161	4.91055693
162	4.907451592
163	4.89962992
164	4.893726807
165	4.888965118
166	4.886968478
167	4.882980229
168	4.877217993
169	4.872564933
170	4.869605251
171	4.86770342
172	4.86071917
173	4.858607934
174	4.853450719
175	4.84972106
176	4.84492755
177	4.840131436
178	4.837244861
179	4.831737926
180	4.828772988
181	4.826210489
182	4.824026818
183	4.820113641
184	4.816883277
